Fields,BoundingBox,X,Y,left,top,right,bottom,id
1,"[-93.1754284765865,44.9930231805777;-93.1753534765865,44.9930291805777]","[-93.1754284765865,-93.1753534765865,-93.1753534765865,-93.1754284765865,-93.1754284765865,NaN]","[44.9930291805777,44.9930291805777,44.9930231805777,44.9930231805777,44.9930291805777,NaN]",1,-93.17552654,44.99304667,-93.17545154,44.99304067
2,"[-93.1754277710957,44.9930167763113;-93.1753527710957,44.9930227763113]","[-93.1754277710957,-93.1753527710957,-93.1753527710957,-93.1754277710957,-93.1754277710957,NaN]","[44.9930227763113,44.9930227763113,44.9930167763113,44.9930167763113,44.9930227763113,NaN]",2,-93.17552654,44.99304067,-93.17545154,44.99303467
3,"[-93.1754276962738,44.9930106588482;-93.1753526962739,44.9930166588482]","[-93.1754276962738,-93.1753526962739,-93.1753526962739,-93.1754276962738,-93.1754276962738,NaN]","[44.9930166588482,44.9930166588482,44.9930106588482,44.9930106588482,44.9930166588482,NaN]",3,-93.17552654,44.99303467,-93.17545154,44.99302867
4,"[-93.1754277796493,44.9930042907933;-93.1753527796493,44.9930102907933]","[-93.1754277796493,-93.1753527796493,-93.1753527796493,-93.1754277796493,-93.1754277796493,NaN]","[44.9930102907933,44.9930102907933,44.9930042907933,44.9930042907933,44.9930102907933,NaN]",4,-93.17552654,44.99302867,-93.17545154,44.99302267
5,"[-93.1754292734724,44.9929972289243;-93.1753542734724,44.9930032289243]","[-93.1754292734724,-93.1753542734724,-93.1753542734724,-93.1754292734724,-93.1754292734724,NaN]","[44.9930032289243,44.9930032289243,44.9929972289243,44.9929972289243,44.9930032289243,NaN]",5,-93.17552654,44.99302267,-93.17545154,44.99301667
6,"[-93.1754264923153,44.9929910970117;-93.1753514923153,44.9929970970117]","[-93.1754264923153,-93.1753514923153,-93.1753514923153,-93.1754264923153,-93.1754264923153,NaN]","[44.9929970970117,44.9929970970117,44.9929910970117,44.9929910970117,44.9929970970117,NaN]",6,-93.17552654,44.99301667,-93.17545154,44.99301067
7,"[-93.1754265617638,44.9929845141159;-93.1753515617638,44.9929905141159]","[-93.1754265617638,-93.1753515617638,-93.1753515617638,-93.1754265617638,-93.1754265617638,NaN]","[44.9929905141159,44.9929905141159,44.9929845141159,44.9929845141159,44.9929905141159,NaN]",7,-93.17552654,44.99301067,-93.17545154,44.99300467
8,"[-93.1754262027541,44.9929778387253;-93.1753512027541,44.9929838387253]","[-93.1754262027541,-93.1753512027541,-93.1753512027541,-93.1754262027541,-93.1754262027541,NaN]","[44.9929838387253,44.9929838387253,44.9929778387253,44.9929778387253,44.9929838387253,NaN]",8,-93.17552654,44.99300467,-93.17545154,44.99299867
9,"[-93.1754273072327,44.9929697874131;-93.1753523072327,44.9929757874131]","[-93.1754273072327,-93.1753523072327,-93.1753523072327,-93.1754273072327,-93.1754273072327,NaN]","[44.9929757874131,44.9929757874131,44.9929697874131,44.9929697874131,44.9929757874131,NaN]",9,-93.17552654,44.99299867,-93.17545154,44.99299267
10,"[-93.1754282585232,44.9929624706415;-93.1753532585232,44.9929684706415]","[-93.1754282585232,-93.1753532585232,-93.1753532585232,-93.1754282585232,-93.1754282585232,NaN]","[44.9929684706415,44.9929684706415,44.9929624706415,44.9929624706415,44.9929684706415,NaN]",10,-93.17552654,44.99299267,-93.17545154,44.99298667
11,"[-93.1754244910993,44.9929562719702;-93.1753494910993,44.9929622719702]","[-93.1754244910993,-93.1753494910993,-93.1753494910993,-93.1754244910993,-93.1754244910993,NaN]","[44.9929622719702,44.9929622719702,44.9929562719702,44.9929562719702,44.9929622719702,NaN]",11,-93.17552654,44.99298667,-93.17545154,44.99298067
