Plot,Stand
YC19:1001,24
YC19:1002,24
YC19:1003,23
YC19:1004,20
YC19:1005,22
YC19:1006,23
YC19:1007,24
YC19:1008,18
YC19:1009,24
YC19:1010,16
YC19:1011,22
YC19:1012,18
YC19:1013,25
YC19:1014,24
YC19:1015,24
YC19:1016,23
YC19:1017,25
YC19:1018,26
YC19:1019,24
YC19:1020,22
YC19:1021,17
YC19:1022,25
YC19:1023,20
YC19:1024,21
YC19:1025,25
YC19:1026,24
YC19:1027,24
YC19:1028,21
YC19:1029,22
YC19:1030,21
YC19:1031,25
YC19:1032,22
YC19:1033,20
YC19:1034,24
YC19:1035,21
YC19:1036,12
YC19:1037,12
YC19:1038,27
YC19:1039,21
YC19:1040,25
YC19:1041,24
YC19:1042,16
YC19:1043,24
YC19:1044,18
YC19:1045,27
YC19:1046,21
YC19:1047,26
YC19:1048,26
YC19:1049,17
YC19:1050,23
YC19:1051,21
YC19:1052,28
YC19:1053,21
YC19:1054,17
YC19:1055,25
YC19:1056,20
YC19:1057,11
YC19:1058,25
YC19:1059,22
YC19:1060,25
YC19:1061,19
YC19:1062,26
YC19:1063,25
YC19:1064,22
YC19:1065,26
YC19:1066,27
YC19:1067,20
YC19:1068,24
YC19:1069,22
YC19:1070,20
YC19:1071,21
YC19:1072,21
YC19:1073,15
YC19:1074,25
YC19:1075,25
YC19:1076,19
YC19:1077,17
YC19:1078,23
YC19:1079,27
YC19:1080,23
YC19:1081,22
YC19:1082,26
YC19:1083,22
YC19:1084,24
YC19:1085,23
YC19:1086,13
YC19:1087,26
YC19:1088,13
YC19:1089,17
YC19:1090,26
YC19:1091,10
YC19:1092,20
YC19:1093,20
YC19:1094,18
YC19:1095,12
YC19:1096,18
YC19:1097,18
YC19:1098,24
YC19:1099,1
YC19:1100,23
YC19:1101,23
YC19:1102,24
YC19:1103,14
YC19:1104,20
YC19:1105,18
YC19:1106,23
YC19:1107,20
YC19:1108,24
YC19:1109,15
YC19:1110,21
YC19:1111,23
YC19:1112,26
YC19:1113,25
YC19:1114,21
YC19:1115,24
YC19:1116,24
YC19:1117,18
YC19:1118,25
YC19:1119,23
YC19:1120,22
YC19:1121,21
YC19:1122,19
YC19:1123,22
YC19:1124,22
YC19:1125,23
YC19:1126,21
YC19:1127,12
YC19:1128,20
YC19:1129,21
YC19:1130,25
YC19:1131,22
YC19:1132,20
YC19:1133,26
YC19:1134,23
YC19:1135,16
YC19:1136,23
YC19:1137,18
YC19:1138,23
YC19:1139,18
YC19:1140,20
YC19:1141,23
YC19:1142,25
YC19:1143,23
YC19:1144,22
YC19:1145,22
YC19:1146,26
YC19:1147,24
YC19:1148,26
YC19:1149,26
YC19:1150,22
YC19:1151,21
YC19:1152,25
YC19:1153,26
YC19:1154,23
YC19:1155,19
YC19:1156,26
YC19:1157,25
YC19:1158,24
YC19:1159,10
YC19:1160,26
YC19:1161,21
YC19:1162,12
YC19:1163,20
YC19:1164,25
YC19:1165,27
YC19:1166,19
YC19:1167,23
YC19:1168,24
YC19:1169,25
YC19:1170,21
YC19:1171,14
YC19:1172,27
YC19:1173,23
YC19:1174,18
YC19:1175,14
YC19:1176,22
YC19:1177,26
YC19:1178,19
YC19:1179,24
YC19:1180,18
YC19:1181,24
YC19:1182,25
YC19:1183,23
YC19:1184,24
YC19:1185,26
YC19:1186,25
YC19:1187,27
YC19:1188,25
YC19:1189,20
YC19:1190,22
YC19:1191,19
YC19:1192,17
YC19:1193,15
YC19:1194,22
YC19:1195,23
YC19:1196,22
YC19:1197,24
YC19:1198,22
YC19:1199,12
YC19:1200,21
YC19:1201,23
YC19:1202,19
YC19:1203,23
YC19:1204,22
YC19:1205,27
YC19:1206,20
YC19:1207,25
YC19:1208,21
YC19:1209,23
YC19:1210,20
YC19:1211,15
YC19:1212,8
YC19:1213,18
YC19:1214,14
YC19:1215,16
YC19:1216,20
YC19:1217,17
YC19:1218,23
