Plot,Stand
YC20:1001,25
YC20:1002,19
YC20:1003,23
YC20:1004,25
YC20:1005,20
YC20:1006,10
YC20:1007,18
YC20:1008,2
YC20:1009,21
YC20:1010,22
YC20:1011,4
YC20:1012,9
YC20:1013,14
YC20:1014,9
YC20:1015,16
YC20:1016,17
YC20:1017,22
YC20:1018,14
YC20:1019,16
YC20:1020,19
YC20:1021,20
YC20:1022,13
YC20:1023,21
YC20:1024,22
YC20:1025,18
YC20:1026,24
YC20:1027,23
YC20:1028,17
YC20:1029,15
YC20:1030,18
YC20:1031,18
YC20:1032,17
YC20:1033,20
YC20:1034,20
YC20:1035,24
YC20:1036,22
YC20:1037,19
YC20:1038,13
YC20:1039,22
YC20:1040,25
YC20:1041,3
YC20:1042,15
YC20:1043,23
YC20:1044,19
YC20:1045,23
YC20:1046,0
YC20:1047,20
YC20:1048,24
YC20:1049,12
YC20:1050,8
YC20:1051,21
YC20:1052,24
YC20:1053,22
YC20:1054,26
YC20:1055,19
YC20:1056,20
YC20:1057,18
YC20:1058,19
YC20:1059,26
YC20:1060,23
YC20:1061,15
YC20:1062,11
YC20:1063,26
YC20:1064,18
YC20:1065,25
YC20:1066,18
YC20:1067,21
YC20:1068,16
YC20:1069,20
YC20:1070,24
YC20:1071,20
YC20:1072,21
YC20:1073,23
YC20:1074,24
YC20:1075,22
YC20:1076,24
YC20:1077,16
YC20:1078,19
YC20:1079,23
YC20:1080,17
YC20:1081,12
YC20:1082,22
YC20:1083,17
YC20:1084,23
YC20:1085,6
YC20:1086,25
YC20:1087,16
YC20:1088,17
YC20:1089,15
YC20:1090,22
YC20:1091,25
YC20:1092,9
YC20:1093,5
YC20:1094,22
YC20:1095,25
YC20:1096,26
YC20:1097,17
YC20:1098,23
YC20:1099,10
YC20:1100,23
YC20:1101,21
YC20:1102,23
YC20:1103,24
YC20:1104,19
YC20:1105,23
YC20:1106,19
YC20:1107,26
YC20:1108,21
YC20:1109,21
YC20:1110,20
YC20:1111,20
YC20:1112,14
YC20:1113,15
YC20:1114,18
YC20:1115,11
YC20:1116,19
YC20:1117,22
YC20:1118,9
YC20:1119,21
YC20:1120,21
YC20:1121,20
YC20:1122,17
YC20:1123,18
YC20:1124,14
YC20:1125,16
YC20:1126,21
YC20:1127,24
YC20:1128,22
YC20:1129,15
YC20:1130,16
YC20:1131,19
YC20:1132,14
YC20:1133,21
YC20:1134,22
YC20:1135,18
YC20:1136,12
YC20:1137,24
YC20:1138,20
YC20:1139,23
YC20:1140,21
YC20:1141,19
YC20:1142,23
YC20:1143,22
YC20:1144,24
YC20:1145,16
YC20:1146,21
YC20:1147,3
YC20:1148,25
YC20:1149,16
YC20:1150,13
YC20:1151,10
YC20:1152,11
YC20:1153,15
YC20:1154,17
YC20:1155,8
YC20:1156,15
YC20:1157,22
YC20:1158,23
YC20:1159,23
YC20:1160,19
YC20:1161,20
YC20:1162,25
YC20:1163,18
YC20:1164,21
YC20:1165,22
YC20:1166,19
YC20:1167,23
YC20:1168,13
YC20:1169,16
YC20:1170,25
YC20:1171,10
YC20:1172,19
YC20:1173,17
YC20:1174,14
YC20:1175,10
YC20:1176,17
YC20:1177,21
YC20:1178,10
YC20:1179,22
YC20:1180,23
YC20:1181,17
YC20:1182,18
YC20:1183,25
YC20:1184,10
YC20:1185,21
YC20:1186,23
YC20:1187,14
YC20:1188,3
YC20:1189,16
YC20:1190,7
YC20:1191,15
YC20:1192,24
YC20:1193,18
YC20:1194,23
YC20:1195,9
YC20:1196,19
YC20:1197,22
YC20:1198,17
YC20:1199,26
YC20:1200,7
YC20:1201,19
YC20:1202,14
YC20:1203,14
YC20:1204,11
YC20:1205,19
YC20:1206,22
YC20:1207,22
YC20:1208,25
YC20:1209,14
YC20:1210,23
YC20:1211,19
YC20:1212,24
YC20:1213,17
YC20:1214,14
YC20:1215,16
YC20:1216,14
YC20:1217,25
YC20:1218,12
YC20:1219,15
YC20:1220,12
YC20:1221,20
YC20:1222,25
YC20:1223,17
YC20:1224,22
YC20:1225,21
YC20:1226,23
YC20:1227,18
YC20:1228,14
YC20:1229,17
YC20:1230,22
YC20:1231,18
YC20:1232,12
YC20:1233,25
YC20:1234,24
YC20:1235,10
YC20:1236,8
YC20:1237,18
YC20:1238,17
YC20:1239,19
YC20:1240,25
YC20:1241,0
YC20:1242,20
YC20:1243,21
YC20:1244,11
YC20:1245,3
YC20:1246,18
YC20:1247,3
YC20:1248,24
