Plot,Weeds
YC20:1001,Yes
YC20:1002,Yes
YC20:1003,Yes
YC20:1004,Yes
YC20:1005,Yes
YC20:1006,Yes
YC20:1007,Yes
YC20:1008,No
YC20:1009,No
YC20:1010,No
YC20:1011,No
YC20:1012,No
YC20:1013,No
YC20:1014,No
YC20:1015,No
YC20:1016,No
YC20:1017,No
YC20:1018,No
YC20:1019,Yes
YC20:1020,Yes
YC20:1021,No
YC20:1022,No
YC20:1023,No
YC20:1024,No
YC20:1025,No
YC20:1026,No
YC20:1027,No
YC20:1028,No
YC20:1029,No
YC20:1030,No
YC20:1031,No
YC20:1032,No
YC20:1033,No
YC20:1034,No
YC20:1035,No
YC20:1036,No
YC20:1037,No
YC20:1038,No
YC20:1039,Yes
YC20:1040,Yes
YC20:1041,Yes
YC20:1042,Yes
YC20:1043,Yes
YC20:1044,Yes
YC20:1045,Yes
YC20:1046,No
YC20:1047,No
YC20:1048,No
YC20:1049,No
YC20:1050,No
YC20:1051,No
YC20:1052,Yes
YC20:1053,Yes
YC20:1054,Yes
YC20:1055,Yes
YC20:1056,Yes
YC20:1057,Yes
YC20:1058,Yes
YC20:1059,Yes
YC20:1060,No
YC20:1061,No
YC20:1062,No
YC20:1063,No
YC20:1064,No
YC20:1065,Yes
YC20:1066,No
YC20:1067,No
YC20:1068,No
YC20:1069,No
YC20:1070,No
YC20:1071,No
YC20:1072,No
YC20:1073,No
YC20:1074,No
YC20:1075,No
YC20:1076,No
YC20:1077,Yes
YC20:1078,Yes
YC20:1079,Yes
YC20:1080,No
YC20:1081,No
YC20:1082,No
YC20:1083,No
YC20:1084,No
YC20:1085,No
YC20:1086,No
YC20:1087,No
YC20:1088,No
YC20:1089,No
YC20:1090,Yes
YC20:1091,Yes
YC20:1092,Yes
YC20:1093,Yes
YC20:1094,Yes
YC20:1095,Yes
YC20:1096,Yes
YC20:1097,Yes
YC20:1098,Yes
YC20:1099,Yes
YC20:1100,Yes
YC20:1101,Yes
YC20:1102,Yes
YC20:1103,Yes
YC20:1104,No
YC20:1105,No
YC20:1106,No
YC20:1107,No
YC20:1108,No
YC20:1109,No
YC20:1110,No
YC20:1111,No
YC20:1112,No
YC20:1113,No
YC20:1114,No
YC20:1115,No
YC20:1116,No
YC20:1117,No
YC20:1118,No
YC20:1119,No
YC20:1120,No
YC20:1121,No
YC20:1122,No
YC20:1123,No
YC20:1124,No
YC20:1125,No
YC20:1126,No
YC20:1127,Yes
YC20:1128,Yes
YC20:1129,No
YC20:1130,No
YC20:1131,No
YC20:1132,No
YC20:1133,Yes
YC20:1134,Yes
YC20:1135,Yes
YC20:1136,Yes
YC20:1137,Yes
YC20:1138,Yes
YC20:1139,Yes
YC20:1140,Yes
YC20:1141,Yes
YC20:1142,No
YC20:1143,No
YC20:1144,No
YC20:1145,No
YC20:1146,No
YC20:1147,No
YC20:1148,Yes
YC20:1149,Yes
YC20:1150,Yes
YC20:1151,Yes
YC20:1152,Yes
YC20:1153,Yes
YC20:1154,Yes
YC20:1155,Yes
YC20:1156,No
YC20:1157,No
YC20:1158,No
YC20:1159,No
YC20:1160,No
YC20:1161,Yes
YC20:1162,Yes
YC20:1163,No
YC20:1164,No
YC20:1165,No
YC20:1166,No
YC20:1167,No
YC20:1168,No
YC20:1169,No
YC20:1170,No
YC20:1171,No
YC20:1172,No
YC20:1173,No
YC20:1174,No
YC20:1175,No
YC20:1176,No
YC20:1177,No
