Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Avergae Temperature,Precipitation (inches)
6/1/19,86,52,69,0.16
6/2/19,72,48,60,0
6/3/19,73,51,62,0
6/4/19,81,56,68.5,0
6/5/19,84,61,72.5,0.74
6/6/19,81,55,68,0
6/7/19,85,65,75,0
6/8/19,87,65,76,0
6/9/19,84,65,74.5,0
6/10/19,70,50,60,0.02
6/11/19,76,53,64.5,T
6/12/19,65,53,59,0.13
6/13/19,68,43,55.5,0
6/14/19,70,55,62.5,0
6/15/19,82,60,71,0.17
6/16/19,73,57,65,0
6/17/19,72,57,64.5,T
6/18/19,73,53,63,T
6/19/19,71,54,62.5,0
6/20/19,76,61,68.5,0
6/21/19,75,61,68,0.15
6/22/19,73,57,65,0
6/23/19,76,63,69.5,0.03
6/24/19,73,60,66.5,1.09
6/25/19,70,57,63.5,0.06
6/26/19,78,60,69,0
6/27/19,83,65,74,0
6/28/19,75,64,69.5,0.28
6/29/19,83,63,73,0
6/30/19,87,67,77,0.02
7/1/19,79,65,72,1.1
7/2/19,74,67,70.5,0.86
7/3/19,84,63,73.5,0
7/4/19,84,68,76,0
7/5/19,81,64,72.5,0.02
7/6/19,79,66,72.5,0.13
7/7/19,80,60,70,0
7/8/19,83,66,74.5,0
7/9/19,83,68,75.5,0
7/10/19,77,67,72,0.29
7/11/19,75,61,68,0.03
7/12/19,81,66,73.5,0
7/13/19,84,66,75,0
7/14/19,84,69,76.5,0
7/15/19,89,70,79.5,0
7/16/19,90,66,78,1.12
7/17/19,84,67,75.5,0.06
7/18/19,84,69,76.5,T
7/19/19,86,67,76.5,0
7/20/19,93,68,80.5,0
7/21/19,73,58,65.5,0.68
7/22/19,78,57,67.5,0
7/23/19,77,59,68,0
7/24/19,80,59,69.5,0
7/25/19,83,62,72.5,0
7/26/19,81,66,73.5,0.12
7/27/19,84,63,73.5,0
7/28/19,83,62,72.5,0
7/29/19,74,61,67.5,0.34
7/30/19,75,55,65,0
7/31/19,73,54,63.5,0
8/1/19,79,59,69,0
8/2/19,84,66,75,0
8/3/19,84,69,76.5,0
8/4/19,85,65,75,0.11
8/5/19,85,68,76.5,0
8/6/19,83,62,72.5,0.12
8/7/19,82,66,74,0
8/8/19,83,55,69,0
8/9/19,75,54,64.5,0
8/10/19,77,62,69.5,0
8/11/19,70,63,66.5,0.81
8/12/19,79,62,70.5,0
8/13/19,77,59,68,T
8/14/19,80,60,70,0.63
8/15/19,74,58,66,0
8/16/19,78,62,70,0.58
8/17/19,77,58,67.5,0
8/18/19,81,62,71.5,3.1
8/19/19,72,51,61.5,0
8/20/19,79,60,69.5,0
8/21/19,80,55,67.5,0.68
8/22/19,74,54,64,0
8/23/19,71,53,62,0
8/24/19,75,58,66.5,0
8/25/19,73,60,66.5,0
8/26/19,74,61,67.5,0.04
8/27/19,70,56,63,0.76
8/28/19,70,54,62,0.04
8/29/19,70,55,62.5,0.01
8/30/19,72,50,61,0
8/31/19,72,54,63,0
,78.2826087,60.22826087,69.25543478,14.48
