Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Average Temperature,Precipitation (inches)
6/1/21,76,51,63.5,0
6/2/21,78,57,67.5,0
6/3/21,82,60,71,0
6/4/21,88,70,79,0
6/5/21,95,73,84,0
6/6/21,97,74,85.5,0
6/7/21,91,73,82,0
6/8/21,93,72,82.5,0
6/9/21,94,70,82,0
6/10/21,93,74,83.5,0
6/11/21,96,75,85.5,0
6/12/21,88,64,76,0
6/13/21,83,57,70,0
6/14/21,93,58,75.5,0
6/15/21,84,58,71,0
6/16/21,80,58,69,0
6/17/21,86,68,77,0
6/18/21,86,61,73.5,0
6/19/21,87,60,73.5,0
6/20/21,77,62,69.5,0.03
6/21/21,72,50,61,0.72
6/22/21,65,46,55.5,0
6/23/21,75,57,66,0
6/24/21,85,60,72.5,0
6/25/21,85,61,73,0
6/26/21,84,65,74.5,0
6/27/21,73,63,68,0.07
6/28/21,81,60,70.5,0.02
6/29/21,83,64,73.5,0.72
6/30/21,81,62,71.5,0.01
7/1/21,85,65,75,0
7/2/21,87,56,71.5,0
7/3/21,84,64,74,0
7/4/21,86,69,77.5,0
7/5/21,92,73,82.5,0
7/6/21,94,71,82.5,0
7/7/21,75,53,64,0.34
7/8/21,64,51,57.5,0
7/9/21,71,57,64,0
7/10/21,78,60,69,0
7/11/21,80,60,70,0
7/12/21,84,57,70.5,0
7/13/21,81,60,70.5,0
7/14/21,87,65,76,0
7/15/21,74,58,66,0.71
7/16/21,81,58,69.5,0
7/17/21,83,60,71.5,0
7/18/21,85,61,73,0
7/19/21,86,66,76,0
7/20/21,87,65,76,0
7/21/21,86,62,74,0
7/22/21,82,64,73,0
7/23/21,84,71,77.5,0.29
7/24/21,93,71,82,0
7/25/21,89,61,75,0.11
7/26/21,90,67,78.5,0
7/27/21,89,73,81,0
7/28/21,91,72,81.5,0
7/29/21,91,70,80.5,0.12
7/30/21,81,61,71,0
7/31/21,79,58,68.5,0
8/1/21,86,60,73,0
8/2/21,78,58,68,0
8/3/21,82,60,71,0
8/4/21,84,64,74,0
8/5/21,83,66,74.5,0.01
8/6/21,81,65,73,0.17
8/7/21,85,65,75,0.64
8/8/21,71,65,68,0.74
8/9/21,79,68,73.5,0.46
8/10/21,84,68,76,0
8/11/21,85,68,76.5,0
8/12/21,82,66,74,0
8/13/21,79,56,67.5,0.01
8/14/21,78,53,65.5,0
8/15/21,85,63,74,0
8/16/21,84,61,72.5,0
8/17/21,83,64,73.5,0
8/18/21,87,66,76.5,0
8/19/21,89,68,78.5,0
8/20/21,90,70,80,0
8/21/21,89,64,76.5,0.09
8/22/21,73,50,61.5,0
8/23/21,78,58,68,0.04
8/24/21,90,65,77.5,0.86
8/25/21,82,63,72.5,0.17
8/26/21,82,60,71,0
8/27/21,71,60,65.5,2.27
8/28/21,73,67,70,0
8/29/21,83,64,73.5,1.1
8/30/21,79,59,69,0
8/31/21,82,59,70.5,0
,83.33695652,62.88043478,73.10869565,9.7
