"STATION","DATE","MLY-PRCP-NORMAL","MLY-SNOW-NORMAL","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USW00014922","01","    0.89","    11.0","    16.2","    23.6","     8.8"
"USW00014922","02","    0.87","     9.5","    20.6","    28.5","    12.7"
"USW00014922","03","    1.68","     8.2","    33.3","    41.7","    24.9"
"USW00014922","04","    2.91","     3.5","    47.1","    56.6","    37.5"
"USW00014922","05","    3.91","     0.0","    59.5","    69.2","    49.9"
"USW00014922","06","    4.58","     0.0","    69.7","    79.0","    60.4"
"USW00014922","07","    4.06","     0.0","    74.3","    83.4","    65.3"
"USW00014922","08","    4.34","     0.0","    71.8","    80.7","    62.8"
"USW00014922","09","    3.02","     0.0","    63.5","    72.9","    54.2"
"USW00014922","10","    2.58","     0.8","    49.5","    58.1","    40.9"
"USW00014922","11","    1.61","     6.8","    34.8","    41.9","    27.7"
"USW00014922","12","    1.17","    11.4","    22.0","    28.8","    15.2"
