"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"2021-01-01","21.0","12.0","0.00","0.00","6.00"
"2021-01-02","23.0","9.0","0.00","0.00","6.00"
"2021-01-03","25.0","10.0","0.00","0.00","6.00"
"2021-01-04","33.0","13.0","0.00","0.00","6.00"
"2021-01-05","37.0","14.0","T","T","6.00"
"2021-01-06","36.0","14.0","0.00","0.00","6.00"
"2021-01-07","31.0","19.0","0.00","0.00","6.00"
"2021-01-08","23.0","16.0","T","T","6.00"
"2021-01-09","20.0","12.0","0.01","0.10","6.00"
"2021-01-10","23.0","11.0","T","T","6.00"
"2021-01-11","28.0","21.0","0.00","0.00","6.00"
"2021-01-12","34.0","18.0","0.00","0.00","6.00"
"2021-01-13","36.0","18.0","0.00","0.00","5.00"
"2021-01-14","39.0","24.0","0.00","0.00","5.00"
"2021-01-15","33.0","30.0","0.41","1.50","6.00"
"2021-01-16","34.0","28.0","T","T","6.00"
"2021-01-17","28.0","18.0","0.00","0.00","6.00"
"2021-01-18","21.0","17.0","0.00","0.00","6.00"
"2021-01-19","20.0","14.0","0.00","0.00","6.00"
"2021-01-20","14.0","1.0","0.02","0.40","7.00"
"2021-01-21","37.0","4.0","0.00","0.00","7.00"
"2021-01-22","32.0","-1.0","0.00","0.00","7.00"
"2021-01-23","14.0","-2.0","0.00","0.00","7.00"
"2021-01-24","19.0","13.0","0.18","2.20","9.00"
"2021-01-25","24.0","6.0","0.00","0.00","9.00"
"2021-01-26","19.0","7.0","0.00","0.00","8.00"
"2021-01-27","18.0","7.0","0.00","0.00","8.00"
"2021-01-28","12.0","6.0","0.00","0.00","8.00"
"2021-01-29","20.0","8.0","0.00","0.00","8.00"
"2021-01-30","24.0","16.0","0.00","0.00","8.00"
"2021-01-31","31.0","24.0","0.00","0.00","8.00"
"2021-02-01","32.0","25.0","0.00","0.00","8.00"
"2021-02-02","25.0","19.0","0.00","0.00","8.00"
"2021-02-03","22.0","16.0","0.00","0.00","8.00"
"2021-02-04","35.0","16.0","0.21","1.50","9.00"
"2021-02-05","27.0","3.0","0.06","0.60","10.00"
"2021-02-06","9.0","-6.0","0.00","0.00","10.00"
"2021-02-07","-2.0","-18.0","0.00","0.00","10.00"
"2021-02-08","-5.0","-18.0","0.01","0.10","9.00"
"2021-02-09","-2.0","-15.0","0.01","0.30","9.00"
