Year,Date,Max_T,Min_T,Precipitation,GDD
2019,8/18/19,81,62,3.1,1602
2018,7/13/18,95,75,1.52,1432
2018,6/26/18,84,66,1.29,920
2018,7/2/18,77,65,1.24,1088
2018,5/30/18,93,68,1.23,328
2020,6/29/20,85,65,1.15,783
2019,7/16/19,90,66,1.12,916.5
2019,7/1/19,79,65,1.1,562.5
2019,6/24/19,73,60,1.09,415
2018,6/18/18,90,70,0.88,735
2019,7/2/19,74,67,0.86,583
2020,6/30/20,81,66,0.85,806.5
2019,8/11/19,70,63,0.81,1468.5
2018,6/16/18,94,71,0.79,676
2020,6/19/20,83,62,0.74,587.5
2021,6/21/21,72,50,0.72,742
2021,6/29/21,83,64,0.72,897.5
2021,7/15/21,74,58,0.71,1231.5
2019,7/21/19,73,58,0.68,1037.5
2019,8/21/19,80,55,0.68,1650.5
2019,8/14/19,80,60,0.63,1527
2019,8/16/19,78,62,0.58,1563
2020,7/26/20,87,68,0.5,1426.5
2018,7/21/18,82,65,0.42,1638.5
2018,6/17/18,87,71,0.41,705
2018,7/5/18,85,75,0.35,1182.5
2019,7/29/19,74,61,0.34,1202
2021,7/7/21,75,53,0.34,1088.5
2018,6/19/18,79,66,0.3,757.5
2020,6/7/20,75,60,0.3,351.5
2019,7/10/19,77,67,0.29,769.5
2020,7/18/20,89,67,0.29,1255
2021,7/23/21,84,71,0.29,1421.5
2018,6/10/18,72,64,0.28,537.5
2019,6/28/19,75,64,0.28,491
2020,7/14/20,84,70,0.26,1171.5
2018,6/6/18,80,61,0.25,462.5
2018,7/20/18,75,67,0.25,1615
2018,6/3/18,70,59,0.24,408.5
2020,7/21/20,80,63,0.24,1322.5
2020,7/15/20,73,55,0.18,1185.5
2020,6/5/20,83,57,0.17,317.5
2020,6/10/20,82,56,0.17,421.5
2020,6/22/20,83,59,0.16,640.5
2019,6/21/19,75,61,0.15,364
2020,7/9/20,91,70,0.15,1055
2020,7/22/20,79,56,0.15,1340
2018,6/20/18,72,65,0.14,776
2019,7/6/19,79,66,0.13,677.5
2019,7/26/19,81,66,0.12,1138.5
2019,8/6/19,83,62,0.12,1375
2021,7/29/21,91,70,0.12,1586.5
2019,8/4/19,85,65,0.11,1326
2020,7/8/20,86,70,0.11,1027
2021,7/25/21,89,61,0.11,1473.5
2020,7/6/20,89,72,0,973.5
2020,7/28/20,81,65,0,1472
2020,6/24/20,74,54,0,668.5
2021,6/27/21,73,63,0,853.5
2018,7/14/18,84,71,0,1459.5
2019,6/25/19,70,57,0,428.5
2019,7/17/19,84,67,0,942
2020,7/19/20,89,66,0,1281
2020,7/27/20,84,61,0,1449
2018,6/12/18,73,66,0,577.5
2018,7/4/18,89,75,0,1152.5
2018,5/31/18,74,64,0,347
2019,6/23/19,76,63,0,398.5
2019,7/11/19,75,61,0,787.5
2021,6/20/21,77,62,0,731
2018,6/7/18,78,59,0,481
2019,6/30/19,87,67,0,540.5
2019,7/5/19,81,64,0,655
2020,6/21/20,72,58,0,619.5
2020,7/7/20,85,66,0,999
2021,6/28/21,81,60,0,874
2018,7/12/18,91,77,0,1397
2020,6/6/20,79,54,0,334
2021,6/30/21,81,62,0,919
2018,6/1/18,85,66,0,372.5
2018,6/2/18,81,62,0,394
2018,6/4/18,69,52,0,419
2018,6/5/18,86,60,0,442
2018,6/8/18,78,62,0,501
2018,6/9/18,74,63,0,519.5
2018,6/11/18,77,64,0,558
2018,6/13/18,81,58,0,597
2018,6/14/18,80,64,0,619
2018,6/15/18,81,68,0,643.5
2018,6/21/18,80,68,0,800
2018,6/22/18,79,64,0,821.5
2018,6/23/18,83,64,0,845
2018,6/24/18,84,66,0,870
2018,6/25/18,82,68,0,895
2018,6/27/18,72,67,0,939.5
