"GDD","PEV","Factor"
"300",0.474928911328544,"Genotype"
"300",0.051869380433949,"Year"
"300",0.000913841106167737,"Replication"
"300",0.246393136995964,"GxE"
"300",0.0117830783200687,"Block"
"300",0.214111651815306,"Residual"
"350",0.523120856619924,"Genotype"
"350",0.0231009143032154,"Year"
"350",0.000662994634008947,"Replication"
"350",0.266890518892354,"GxE"
"350",0.0096133885079866,"Block"
"350",0.17661132704251,"Residual"
"400",0.498266880048798,"Genotype"
"400",0.0785712457277093,"Year"
"400",0.00484134628027592,"Replication"
"400",0.252281447262777,"GxE"
"400",0.00840618540513283,"Block"
"400",0.157632895275306,"Residual"
"450",0.433392290731696,"Genotype"
"450",0.150155013261849,"Year"
"450",0.0070914666306161,"Replication"
"450",0.249553425623999,"GxE"
"450",0.00899228610647638,"Block"
"450",0.150815517645362,"Residual"
"500",0.426527701407098,"Genotype"
"500",0.204834395134738,"Year"
"500",0.00620611032867966,"Replication"
"500",0.236070896431433,"GxE"
"500",0.00604738358183435,"Block"
"500",0.120313513116216,"Residual"
"550",0.360034527080208,"Genotype"
"550",0.332726546004247,"Year"
"550",0.00401293831564081,"Replication"
"550",0.201557935504551,"GxE"
"550",0.00341664117393642,"Block"
"550",0.0982514119214149,"Residual"
"600",0.320103892465793,"Genotype"
"600",0.400244321301773,"Year"
"600",0.00333542998321694,"Replication"
"600",0.184192364973918,"GxE"
"600",0.00248154931298043,"Block"
"600",0.0896424419623183,"Residual"
"650",0.336018597805223,"Genotype"
"650",0.374676182433696,"Year"
"650",0.00436383444048114,"Replication"
"650",0.191467321601761,"GxE"
"650",0.00286313779594044,"Block"
"650",0.0906109259229003,"Residual"
"700",0.308204086686354,"Genotype"
"700",0.428854230384938,"Year"
"700",0.00534805274901043,"Replication"
"700",0.171136642813662,"GxE"
"700",0.00326739673598297,"Block"
"700",0.083189590630054,"Residual"
"750",0.256326119698604,"Genotype"
"750",0.510025361787437,"Year"
"750",0.00474873553325239,"Replication"
"750",0.148728899355193,"GxE"
"750",0.0033832516203448,"Block"
"750",0.0767876320051702,"Residual"
"800",0.251669375899016,"Genotype"
"800",0.506247210686266,"Year"
"800",0.00419456740111772,"Replication"
"800",0.152627284111886,"GxE"
"800",0.00388101767318207,"Block"
"800",0.0813805442285312,"Residual"
"850",0.231062196523718,"Genotype"
