"GDD","PEV","Factor"
"1",0.445615091111367,"Genotype"
"1",0.0460660281420001,"Year"
"1",0.0160905794619903,"Replication"
"1",0.304485494540722,"GxE"
"1",0.00340948967987499,"Block"
"1",0.184333317064043,"Residual"
"2",0.330048894800964,"Genotype"
"2",0.23216723546269,"Year"
"2",0.0215334203093296,"Replication"
"2",0.230715985572075,"GxE"
"2",0.00325563690040996,"Block"
"2",0.182278826954531,"Residual"
"3",0.198108249526859,"Genotype"
"3",0.604238694808187,"Year"
"3",0.0099103006263981,"Replication"
"3",0.128236768858916,"GxE"
"3",0.00304865995829239,"Block"
"3",0.0564573262213496,"Residual"
"4",0.204174737153029,"Genotype"
"4",0.541578319057165,"Year"
"4",0.00965618352857767,"Replication"
"4",0.155820505073235,"GxE"
"4",0.00451188317636243,"Block"
"4",0.0842583720116295,"Residual"
"5",0.128435548662837,"Genotype"
"5",0.701914976926145,"Year"
"5",0.00503400423687538,"Replication"
"5",0.106450917890897,"GxE"
"5",0.00212132788448528,"Block"
"5",0.0560432243987615,"Residual"
"6",0.153624933912757,"Genotype"
"6",0.59339274222733,"Year"
"6",0.00714524962042982,"Replication"
"6",0.163621105366907,"GxE"
"6",0.00251099857712659,"Block"
"6",0.0797049702954452,"Residual"
"7",0.146742208937598,"Genotype"
"7",0.603879784361718,"Year"
"7",0.00810587046332758,"Replication"
"7",0.152193096747817,"GxE"
"7",0.00141442837074847,"Block"
"7",0.0876646111187896,"Residual"
"8",0.160627876952299,"Genotype"
"8",0.462484233091046,"Year"
"8",0.00418380081876237,"Replication"
"8",0.211627828597599,"GxE"
"8",0.00296177972818626,"Block"
"8",0.158114480812108,"Residual"
"9",0.117058090278629,"Genotype"
"9",0.626723779597582,"Year"
"9",0.00200176876302379,"Replication"
"9",0.158668317719199,"GxE"
"9",0.00324630677176983,"Block"
"9",0.0923017368697985,"Residual"
"10",0.191134153620674,"Genotype"
"10",0.399782634998127,"Year"
"10",0.00177509796317582,"Replication"
"10",0.250875987032548,"GxE"
"10",0.00541539526115306,"Block"
"10",0.151016731124324,"Residual"
"11",0.114927887952855,"Genotype"
