"Df","Sum Sq","Mean Sq","F value","Pr(>F)","factor","GDD","Trait"
3,0.00022346149311871,7.44871643729034e-05,0.649228238665395,0.583603660753013,"Year:Rep","300","Point"
3,0.000473471059376763,0.000157823686458921,1.04126672358218,0.373605833058593,"Year:Rep","350","Point"
8,0.0597891900991374,0.00747364876239217,1.94001865441591,0.0510018506125915,"Year:Rep:Block","1050","Point"
8,0.00321828278130142,0.000402285347662678,1.81204862999269,0.0710853223493137,"Year:Rep:Block","7","Slope"
4,0.00305893891019594,0.000764734727548984,0.839809133186208,0.499955128829811,"Year:Rep","11","Slope"
8,0.0106689429040127,0.00133361786300159,1.46453982169558,0.16589752611056,"Year:Rep:Block","11","Slope"
4,0.000120413375316975,3.01033438292438e-05,0.0946918560455026,0.984154267088244,"Year:Rep","12","Slope"
4,0.00144263368423814,0.000360658421059534,0.619618741414254,0.648599593119319,"Year:Rep","13","Slope"
4,0.0030815769887188,0.0007703942471797,0.990194351154895,0.411864463525064,"Year:Rep","14","Slope"
4,0.00109433267714057,0.000273583169285143,0.463496050776968,0.76256780039897,"Year:Rep","15","Slope"
8,0.00829445961636717,0.0010368074520459,1.75652676549902,0.0818507814738794,"Year:Rep:Block","15","Slope"
8,0.00772365731062776,0.00096545716382847,1.21202041614147,0.288317357200181,"Year:Rep:Block","16","Slope"
8,0.0126746992533053,0.00158433740666317,1.30964712903546,0.234587485152948,"Year:Rep:Block","17","Slope"
8,0.00418812434966247,0.000523515543707808,0.418356647022665,0.910423791992418,"Year:Rep:Block","18","Slope"
953,1.94830286254701,0.00204438915272508,1.04049426246671,0.26817807758683,"taxa:Year","19","Slope"
4,0.00756386675139149,0.00189096668784787,0.962409718618759,0.427242801693778,"Year:Rep","19","Slope"
8,0.00807044350634537,0.00100880543829317,1.68815835296244,0.0971423906662713,"Year:Rep:Block","20","Slope"
953,1.27628088098866,0.00133922442915913,1.03698418811645,0.285790229105981,"taxa:Year","21","Slope"
953,0.429468062129845,0.000450648543682944,1.10986915851277,0.0523720645739999,"taxa:Year","22","Slope"
8,0.00299556658904974,0.000374445823631217,1.13290788031251,0.338172402047244,"Year:Rep:Block","23","Slope"
6,0.00263614486022523,0.000439357476704205,1.47964428655164,0.181925852058857,"Year:Rep:Block","24","Slope"
3,0.000476908727018639,0.00015896957567288,0.509599410509055,0.675740483434135,"Year:Rep","25","Slope"
6,0.00265751356524583,0.000442918927540972,1.41983913225409,0.203821517841161,"Year:Rep:Block","25","Slope"
3,0.000651353547471824,0.000217117849157275,0.511275412978752,0.674587387779043,"Year:Rep","26","Slope"
6,0.00291758277417035,0.000486263795695059,1.14506809976971,0.334011066280549,"Year:Rep:Block","26","Slope"
3,0.000530782309782952,0.000176927436594317,0.699957272452356,0.552191809251018,"Year:Rep","27","Slope"
6,0.00202152658277609,0.000336921097129349,1.33292143218611,0.239550821531467,"Year:Rep:Block","27","Slope"
8,0.0019874755263525,0.000248434440794063,1.43720701792512,0.176635878519239,"Year:Rep:Block","AVS","Slope"
