"Df","Sum Sq","Mean Sq","F value","Pr(>F)","factor","GDD","Year"
1,0.00166438059480488,0.00166438059480488,2.56599918922264,0.110283590350196,"Rep","450",2018
1,0.00130240548359089,0.00130240548359089,2.46468584441066,0.117532788361419,"Rep","500",2018
2,0.00196814805883421,0.000984074029417106,1.62606240909562,0.198509444501461,"Rep:Block","550",2018
2,0.00271087598314393,0.00135543799157197,1.80779923146341,0.165877331089959,"Rep:Block","600",2018
2,0.00340352983208619,0.00170176491604309,1.94447759965323,0.14494205731872,"Rep:Block","650",2018
2,0.00349160733909267,0.00174580366954633,1.35600171599555,0.259334892660409,"Rep:Block","700",2018
2,0.00390186586227088,0.00195093293113544,0.854650402353358,0.426511725677193,"Rep:Block","750",2018
2,0.00569982470842482,0.00284991235421241,0.744122268274787,0.476065617990918,"Rep:Block","800",2018
2,0.00920985308558795,0.00460492654279397,0.842225223128875,0.431812733511402,"Rep:Block","850",2018
2,0.0136550574246984,0.0068275287123492,1.06213338746549,0.347072384762536,"Rep:Block","900",2018
2,0.0173237523632593,0.00866187618162963,1.44492689961482,0.237473140547627,"Rep:Block","950",2018
2,0.0197770339951304,0.0098885169975652,1.99317786830279,0.138143488376277,"Rep:Block","1000",2018
2,0.0217093422993181,0.010854671149659,2.55381386467778,0.07955113050682,"Rep:Block","1050",2018
2,0.0231813372621654,0.0115906686310827,2.9178271331362,0.0556563721252436,"Rep:Block","1100",2018
2,0.0240258183009745,0.0120129091504872,2.98670845473771,0.0520239297708305,"Rep:Block","1150",2018
2,0.0238154942144565,0.0119077471072283,2.90163809766673,0.0565465318038565,"Rep:Block","1200",2018
2,0.022024442321393,0.0110122211606965,2.82907589021434,0.0607158963823499,"Rep:Block","1250",2018
2,0.0165980473333517,0.00829902366667583,2.56329451135944,0.0788135861266663,"Rep:Block","1300",2018
2,0.00958649544890337,0.00479324772445169,1.44481778933055,0.237498794405539,"Rep:Block","1350",2018
2,0.0116670003711518,0.0058335001855759,1.80300883900982,0.16667696337744,"Rep:Block","1400",2018
2,0.0179758749023882,0.00898793745119408,3.00258553514424,0.0512320694639859,"Rep:Block","1450",2018
1,9.49001235922633e-05,9.49001235922633e-05,0.736035977401672,0.391547037757225,"Rep","300",2019
1,0.000378441975130999,0.000378441975130999,3.26328706218395,0.0717442454184203,"Rep","350",2019
2,0.0152271960645517,0.00761359803227585,2.65180204830725,0.0720042744314506,"Rep:Block","1000",2019
2,0.0111850761421836,0.00559253807109178,1.51520918649731,0.221264396526863,"Rep:Block","1050",2019
2,0.0150178580445821,0.00750892902229105,1.96164287075415,0.142239207569664,"Rep:Block","1100",2019
1,0.0019767783510072,0.0019767783510072,0.897501093365016,0.344135506264762,"Rep","1200",2019
1,3.58597984395121e-06,3.58597984395121e-06,0.00158084536738256,0.968310018525511,"Rep","1250",2019
1,0.0011132063106743,0.0011132063106743,0.54312791146867,0.461693116853591,"Rep","1300",2019
1,0.00649756621578611,0.00649756621578611,3.47789025227531,0.0631326520510817,"Rep","1350",2019
1,0.00012841847202063,0.00012841847202063,3.35118231851074,0.0735012173204262,"Rep","300",2020
2,2.27542330352513e-05,1.13771165176257e-05,0.296894917916314,0.744505450040747,"Rep:Block","300",2020
1,2.11201968267366e-05,2.11201968267366e-05,0.210044616890357,0.648844576144705,"Rep","350",2020
2,0.000214273594645325,0.000107136797322663,1.0654970563537,0.352731460374955,"Rep:Block","350",2020
1,1.13326908572127e-05,1.13326908572127e-05,0.0708044200775659,0.791332981116951,"Rep","400",2020
2,0.000550962204624629,0.000275481102312314,1.72115166091713,0.189941250237928,"Rep:Block","400",2020
1,0.00163314839487697,0.00163314839487697,1.69373477368151,0.199452869376508,"Rep","450",2020
2,0.00430044290116756,0.00215022145058378,2.22999015484077,0.118785571792785,"Rep:Block","450",2020
212,0.759018956254105,0.00358027809553823,1.47717506276596,0.0561741614702305,"taxa","500",2020
1,0.00574198035178352,0.00574198035178352,2.36906462576663,0.130467280130359,"Rep","500",2020
2,0.00998215957871019,0.0049910797893551,2.05925305363805,0.138903457163232,"Rep:Block","500",2020
212,0.797891111548339,0.00376363731862424,1.39047984489741,0.0895947084835161,"taxa","550",2020
1,0.00541467039468067,0.00541467039468067,2.00045578603156,0.163842658114548,"Rep","550",2020
2,0.0094384450570251,0.00471922252851255,1.74352182581747,0.186024889993939,"Rep:Block","550",2020
212,0.919604679036316,0.00433775791998262,1.20674459907635,0.224450838321906,"taxa","600",2020
1,0.00184960039107714,0.00184960039107714,0.51455044830874,0.476725709189406,"Rep","600",2020
2,0.00951890431454109,0.00475945215727054,1.32405802520477,0.275793792468104,"Rep:Block","600",2020
212,1.05969679476059,0.00499856978660655,1.1556391723178,0.282774522076388,"taxa","650",2020
1,0.000270724759106276,0.000270724759106276,0.0625899306993388,0.803538663736139,"Rep","650",2020
2,0.0101400112811523,0.00507000564057616,1.17215471069769,0.318587249598439,"Rep:Block","650",2020
212,1.19473565155874,0.00563554552622048,1.26130287899626,0.173076579541531,"taxa","700",2020
1,0.000791514478892151,0.000791514478892151,0.177150461538981,0.675752068048109,"Rep","700",2020
2,0.0171213826041016,0.00856069130205082,1.9159856903359,0.158518979116012,"Rep:Block","700",2020
212,1.87514646272869,0.00884503048456931,1.35767884212574,0.106411403946764,"taxa","750",2020
1,0.00533740803188671,0.00533740803188671,0.819272016001133,0.370009751339685,"Rep","750",2020
212,2.97444936682871,0.0140304215416449,1.38818351014505,0.0906884975049805,"taxa","800",2020
1,0.0140166657117427,0.0140166657117427,1.38682249499794,0.244871316769454,"Rep","800",2020
212,3.22841916518007,0.0152283922885852,1.44432948090108,0.067167182878795,"taxa","850",2020
1,0.0178859188057111,0.0178859188057111,1.69638129452807,0.199108206440959,"Rep","850",2020
212,2.77331529153339,0.0130816759034594,1.45109906273604,0.0647490779420219,"taxa","900",2020
1,0.0187886879622814,0.0187886879622814,2.08415555417457,0.155467436206727,"Rep","900",2020
212,2.40544592943445,0.0113464430633701,1.43079779299707,0.0722542983838913,"taxa","950",2020
1,0.0209396809406962,0.0209396809406962,2.64051466249655,0.110857895927852,"Rep","950",2020
2,0.0422470336944233,0.0211235168472116,2.66369655375947,0.0801984232795517,"Rep:Block","950",2020
212,2.3360632528638,0.0110191662870934,1.42167725357153,0.0758819084524678,"taxa","1000",2020
1,0.026336236554149,0.026336236554149,3.39786400152321,0.0715916112601765,"Rep","1000",2020
2,0.024283369874731,0.0121416849373655,1.56650302262004,0.219478318098927,"Rep:Block","1000",2020
212,2.16463306148796,0.0102105333089055,1.42878685218077,0.0730400714446175,"taxa","1050",2020
1,0.0243710469281761,0.0243710469281761,3.4103048657104,0.0710920107816626,"Rep","1050",2020
2,0.0153801199712223,0.00769005998561114,1.07609037329514,0.349175747853886,"Rep:Block","1050",2020
1,0.000709269103300884,0.000709269103300884,0.144217795553067,0.70583407438212,"Rep","1100",2020
2,0.00953985710221683,0.00476992855110841,0.969883754113939,0.38658497205738,"Rep:Block","1100",2020
212,1.55989319375676,0.00735798676300358,1.30785843727682,0.137365445943799,"taxa","1150",2020
1,0.0135663105960439,0.0135663105960439,2.41136799334376,0.12716554968212,"Rep","1150",2020
2,0.00643781151382755,0.00321890575691378,0.572150125921143,0.568191860151707,"Rep:Block","1150",2020
212,1.27876227566043,0.00603189752670015,1.34596075668948,0.11307445177808,"taxa","1200",2020
1,0.0136047702189401,0.0136047702189401,3.03577551465612,0.0879883831138667,"Rep","1200",2020
2,0.00538532606055825,0.00269266303027912,0.600842231437406,0.552506763899914,"Rep:Block","1200",2020
2,0.00616242339586121,0.00308121169793061,1.10579211510901,0.339404054957003,"Rep:Block","1250",2020
2,0.00750712561999047,0.00375356280999523,2.00726547187531,0.145711242599368,"Rep:Block","1300",2020
2,0.00799007516354956,0.00399503758177478,2.38187851871747,0.103441210503761,"Rep:Block","1350",2020
2,0.00770317398182454,0.00385158699091227,2.34378867996291,0.107083980024931,"Rep:Block","1400",2020
2,0.00737805626189928,0.00368902813094964,2.06432153190365,0.138257719896403,"Rep:Block","1450",2020
1,1.42897505818858e-07,1.42897505818858e-07,0.00128376430549447,0.971439150157487,"Rep","300",2021
2,8.64551160585872e-05,4.32275580292936e-05,0.388348247883653,0.678475677737374,"Rep:Block","300",2021
1,7.39088874189472e-05,7.39088874189472e-05,0.381812614364734,0.537047196264722,"Rep","350",2021
2,0.000267603801709079,0.00013380190085454,0.691219356106096,0.50166535514772,"Rep:Block","350",2021
1,0.000218120031683035,0.000218120031683035,0.767074025690419,0.381740263943439,"Rep","400",2021
2,0.000512762038031068,0.000256381019015534,0.901628423805852,0.406873551942618,"Rep:Block","400",2021
1,0.000649279782067792,0.000649279782067792,1.77741805986087,0.183356657194264,"Rep","450",2021
2,0.00106454698698387,0.000532273493491936,1.45711070365506,0.234354666582905,"Rep:Block","450",2021
2,0.0119407625166182,0.00597038125830911,1.56169056280363,0.211277719458549,"Rep:Block","850",2021
2,0.0108788157332178,0.0054394078666089,1.35886402692809,0.258340282755475,"Rep:Block","900",2021
2,0.00999806641668476,0.00499903320834238,1.41459338807105,0.244446846084003,"Rep:Block","950",2021
2,0.0100577675494754,0.00502888377473771,1.56277100938843,0.211051638820318,"Rep:Block","1000",2021
2,0.0115146516864062,0.00575732584320312,1.78690606864447,0.169042139605198,"Rep:Block","1050",2021
2,0.0135195653253081,0.00675978266265406,2.11135875599523,0.122653391752002,"Rep:Block","1100",2021
2,0.014860751943712,0.00743037597185598,2.49405676978815,0.0840795987633773,"Rep:Block","1150",2021
2,0.0152365060420545,0.00761825302102724,2.38739949535751,0.0934022998395822,"Rep:Block","1200",2021
2,0.00664086879070838,0.00332043439535419,1.02966923775064,0.358232682308652,"Rep:Block","1250",2021
2,0.00451017468100458,0.00225508734050229,0.814932235368032,0.44352954175065,"Rep:Block","1300",2021
2,0.00259701402138685,0.00129850701069343,0.575026206163879,0.563234782307856,"Rep:Block","1350",2021
1,0.00508944653713442,0.00508944653713442,2.36616464781954,0.12491871273985,"Rep","1400",2021
2,0.00321647460981539,0.00160823730490769,0.747695103664404,0.474231137607915,"Rep:Block","1400",2021
1,0.0056932050297808,0.0056932050297808,2.68553702616617,0.102204672099683,"Rep","1450",2021
2,0.00361033448271382,0.00180516724135691,0.851513943328485,0.42769266729182,"Rep:Block","1450",2021
1,0.0070820818862731,0.0070820818862731,3.5969254462436,0.0587491763547553,"Rep","1500",2021
2,0.0026856673474866,0.0013428336737433,0.682013098510195,0.506300841358986,"Rep:Block","1500",2021
2,0.00125228088293559,0.000626140441467794,0.344015006434804,0.709169180826686,"Rep:Block","1550",2021
2,0.000236464238821503,0.000118232119410752,0.0667997571295899,0.935394979630054,"Rep:Block","1600",2021
2,7.89486631667972e-05,3.94743315833986e-05,0.0213809150539646,0.978847375982712,"Rep:Block","1650",2021
