"Df","Sum Sq","Mean Sq","F value","Pr(>F)","factor","GDD","Year"
2,0.000205621511840274,0.000102810755920137,0.355961663057915,0.700808298433187,"Rep:Block","7",2018
2,0.000532240591447129,0.000266120295723565,0.321394952417456,0.725397443059695,"Rep:Block","8",2018
2,0.00198343825354392,0.000991719126771961,0.815361730002464,0.443501524571572,"Rep:Block","9",2018
1,0.00351704669858339,0.00351704669858339,2.94693630380099,0.087119458208571,"Rep","10",2018
2,0.003191440419686,0.001595720209843,1.33705526827078,0.264248663042452,"Rep:Block","10",2018
1,0.00131859201625262,0.00131859201625262,1.70783647827529,0.192312470202792,"Rep","11",2018
2,0.00341223225439801,0.00170611612719901,2.20975656024753,0.111590962625865,"Rep:Block","11",2018
1,2.54488817046295e-05,2.54488817046295e-05,0.107149822188878,0.743651282507285,"Rep","12",2018
391,0.244966771606796,0.000626513482370323,1.15932065826376,0.0913347773750754,"taxa","14",2018
1,0.00179859671931488,0.00179859671931488,3.32818110266088,0.069141812196877,"Rep","14",2018
2,0.000524473502141996,0.000262236751070998,0.485251301731573,0.616046582250494,"Rep:Block","14",2018
1,0.000703533565551039,0.000703533565551039,0.935621725396336,0.334220758684145,"Rep","15",2018
2,0.00074549188676849,0.000372745943384245,0.49571082285249,0.60965833202316,"Rep:Block","15",2018
1,0.000210083721231863,0.000210083721231863,0.264675487074804,0.60732200869632,"Rep","16",2018
2,0.000864787327466316,0.000432393663733158,0.544754266944481,0.58058278447185,"Rep:Block","16",2018
1,3.99429016362278e-05,3.99429016362278e-05,0.0652217389016224,0.798608315790248,"Rep","17",2018
2,0.000727470251853099,0.00036373512592655,0.593933751448174,0.552828189987428,"Rep:Block","17",2018
1,4.00612584212253e-06,4.00612584212253e-06,0.012533947381218,0.910937256916815,"Rep","18",2018
2,0.00041107811339582,0.00020553905669791,0.643069095421092,0.526432328105896,"Rep:Block","18",2018
1,2.36771672631087e-06,2.36771672631087e-06,0.0123286141899833,0.911666761372269,"Rep","19",2018
2,0.000225575391411177,0.000112787695705588,0.587281396579056,0.556502884420894,"Rep:Block","19",2018
391,0.502192329501684,0.00128437935933935,1.07841386670947,0.248501955180597,"taxa","20",2018
1,3.03945232136226e-05,3.03945232136226e-05,0.0255204002363084,0.873189549795485,"Rep","20",2018
2,0.00156225940999227,0.000781129704996133,0.655866274587134,0.519768370201842,"Rep:Block","20",2018
391,1.07714650987482,0.002754850408887,1.07919936080987,0.246418901456781,"taxa","21",2018
1,4.66605334425468e-05,4.66605334425468e-05,0.0182790389285016,0.892548522217017,"Rep","21",2018
2,0.00399695111104734,0.00199847555552367,0.782893160063329,0.458055336433181,"Rep:Block","21",2018
2,7.10964141745567e-05,3.55482070872783e-05,0.1641703152695,0.848677672872698,"Rep:Block","22",2018
2,0.00271863019050059,0.0013593150952503,1.40247479147097,0.247679869737259,"Rep:Block","23",2018
2,0.0016082747101196,0.000804137355059798,1.58898217550306,0.205961901895635,"Rep:Block","24",2018
1,7.39756946350785e-05,7.39756946350785e-05,0.491837582694626,0.483689122112846,"Rep","25",2018
2,0.000223178665986111,0.000111589332993055,0.741917031865014,0.47713059750989,"Rep:Block","25",2018
1,0.000290833606326882,0.000290833606326882,0.493975929954808,0.482740922556468,"Rep","26",2018
2,0.000171054468865633,8.55272344328164e-05,0.145266551891972,0.86485665183165,"Rep:Block","26",2018
1,0.000322433775947745,0.000322433775947745,0.722225994551925,0.396138196151903,"Rep","27",2018
2,0.000112379697560929,5.61898487804643e-05,0.125860788932268,0.881787264190813,"Rep:Block","27",2018
1,0.000102621323943187,0.000102621323943187,0.75615887351602,0.385155882324911,"Rep","4",2019
1,0.000853357505003034,0.000853357505003034,3.44618389463815,0.0642757843008884,"Rep","5",2019
2,0.000186219910287129,9.31099551435643e-05,0.376013600355095,0.686882398607957,"Rep:Block","5",2019
1,7.44909003843125e-05,7.44909003843125e-05,0.462403908169406,0.496972278697546,"Rep","6",2019
1,0.000108084318118633,0.000108084318118633,1.06126554100106,0.303669911677239,"Rep","9",2019
1,0.000128208341260549,0.000128208341260549,0.150660411092117,0.698151580450954,"Rep","10",2019
1,3.39957549046676e-06,3.39957549046676e-06,0.0801620112409266,0.777252853569118,"Rep","11",2019
1,8.53338546606878e-06,8.53338546606878e-06,0.016269321277789,0.898580643016347,"Rep","12",2019
1,7.54071469783732e-07,7.54071469783732e-07,0.000797405521867783,0.977488849386961,"Rep","13",2019
1,2.59983939447409e-05,2.59983939447409e-05,0.0292768976876477,0.864244559527665,"Rep","14",2019
1,0.000224415644985885,0.000224415644985885,0.496554008984975,0.481507783063466,"Rep","15",2019
2,0.00201520154270322,0.00100760077135161,2.22947113380827,0.109179271386867,"Rep:Block","15",2019
1,0.000828090839856598,0.000828090839856598,3.31939574143087,0.0693585466616235,"Rep","16",2019
2,0.00112733047981381,0.000563665239906907,2.25944776452739,0.105997017867001,"Rep:Block","16",2019
1,0.00335831396924253,0.00335831396924253,3.25490195391358,0.0721082957032983,"Rep","17",2019
2,0.00166486529632183,0.000832432648160913,0.298527829291765,0.742106794337804,"Rep:Block","18",2019
398,0.282630805193623,0.000710127651240259,1.05377590564681,0.313975981140112,"taxa","19",2019
