"Df","Sum Sq","Mean Sq","F value","Pr(>F)","factor","GDD","Trait"
437,5944090.16980751,13602.0370018478,7.86419386648489,5.81422479172185e-156,"taxa","AUPC","Area"
3,5981063.45553396,1993687.81851132,1152.67643455847,1.08398002697569e-319,"Year","AUPC","Area"
949,3348295.70460341,3528.23572666323,2.03989518315297,3.37568104210369e-28,"taxa:Year","AUPC","Area"
4,100017.124452024,25004.2811130059,14.4565489814542,1.7940222431446e-11,"Year:Rep","AUPC","Area"
8,60868.5173750256,7608.5646718782,4.39899021133449,3.06189162772972e-05,"Year:Rep:Block","AUPC","Area"
973,1682916.54904403,1729.61618606786,NA,NA,"Residuals","AUPC","Area"
433,0.181285551740787,0.000418673329655397,3.64914614050242,1.2556590949524e-53,"taxa","300","Point"
2,0.0193125640705164,0.00965628203525821,84.1639097230494,1.38023203192255e-33,"Year","300","Point"
570,0.0948002188810251,0.000166316173475483,1.44960755690057,1.24177769471053e-06,"taxa:Year","300","Point"
3,0.00022346149311871,7.44871643729034e-05,0.649228238665395,0.583603660753013,"Year:Rep","300","Point"
6,0.00426763520897135,0.000711272534828559,6.19943340420407,2.33450894506918e-06,"Year:Rep:Block","300","Point"
723,0.0829511358783717,0.000114731861519186,NA,NA,"Residuals","300","Point"
433,0.324721761630942,0.000749934784367072,4.94781330571354,6.4342909164099e-80,"taxa","350","Point"
2,0.0134894270207458,0.0067447135103729,44.4993137343453,5.94641582816863e-19,"Year","350","Point"
570,0.164264476572014,0.000288183292231604,1.90133483272319,1.89530193397493e-16,"taxa:Year","350","Point"
3,0.000473471059376763,0.000157823686458921,1.04126672358218,0.373605833058593,"Year:Rep","350","Point"
6,0.00641876784808672,0.00106979464134779,7.05813928248297,2.56392234841284e-07,"Year:Rep:Block","350","Point"
723,0.1095843386959,0.00015156893318935,NA,NA,"Residuals","350","Point"
433,0.521930709265856,0.00120538270038304,5.35717019278742,1.58193259887174e-87,"taxa","400","Point"
2,0.0827205629107895,0.0413602814553947,183.82051352465,2.86096590942764e-65,"Year","400","Point"
570,0.263971659760802,0.000463108175018952,2.05822541708897,3.01945793045765e-20,"taxa:Year","400","Point"
3,0.00458425869766072,0.00152808623255357,6.79138502190505,0.000161352202384685,"Year:Rep","400","Point"
