"Df","Sum Sq","Mean Sq","F value","Pr(>F)","factor","GDD","Year"
391,0.675037840030762,0.00172643948856972,2.66167626667818,7.59007476002415e-18,"taxa","450",2018
1,0.00166438059480488,0.00166438059480488,2.56599918922264,0.110283590350196,"Rep","450",2018
2,0.0142028962774139,0.00710144813870693,10.9484034019063,2.61713772569156e-05,"Rep:Block","450",2018
287,0.186156423086677,0.000648628651869955,NA,NA,"Residuals","450",2018
391,1.03210502277435,0.00263965478970422,4.99531050527917,1.47360980445139e-41,"taxa","500",2018
1,0.00130240548359089,0.00130240548359089,2.46468584441066,0.117532788361419,"Rep","500",2018
2,0.00550401117874017,0.00275200558937008,5.20792434101119,0.00600209354551566,"Rep:Block","500",2018
287,0.151658425205897,0.000528426568661661,NA,NA,"Residuals","500",2018
391,1.67137172922312,0.00427460800312818,7.06326879861178,1.45089315602336e-57,"taxa","550",2018
1,0.0141720691643795,0.0141720691643795,23.4176172101104,2.1319610273005e-06,"Rep","550",2018
2,0.00196814805883421,0.000984074029417106,1.62606240909562,0.198509444501461,"Rep:Block","550",2018
287,0.173689056990002,0.000605188351881541,NA,NA,"Residuals","550",2018
391,2.16944814612396,0.00554846073177482,7.40019322837084,7.67164685952532e-60,"taxa","600",2018
1,0.0285301825547589,0.0285301825547589,38.0517902085568,2.33662515748541e-09,"Rep","600",2018
2,0.00271087598314393,0.00135543799157197,1.80779923146341,0.165877331089959,"Rep:Block","600",2018
287,0.21518468246402,0.000749772412766622,NA,NA,"Residuals","600",2018
391,2.52853581836553,0.00646684352523154,7.38917124024011,9.08076522471034e-60,"taxa","650",2018
1,0.0433568868648702,0.0433568868648702,49.5406236811293,1.43390457069103e-11,"Rep","650",2018
2,0.00340352983208619,0.00170176491604309,1.94447759965323,0.14494205731872,"Rep:Block","650",2018
287,0.251176218739403,0.000875178462506629,NA,NA,"Residuals","650",2018
391,2.98108833984832,0.00762426685383202,5.92192531001541,3.31042687213358e-49,"taxa","700",2018
1,0.0617296835615154,0.0617296835615154,47.9467183495089,2.87204042210378e-11,"Rep","700",2018
2,0.00349160733909267,0.00174580366954633,1.35600171599555,0.259334892660409,"Rep:Block","700",2018
287,0.369502226471697,0.00128746420373414,NA,NA,"Residuals","700",2018
391,3.64738924855893,0.00932836124951133,4.0865001394755,3.83287414247575e-33,"taxa","750",2018
1,0.0814904614036041,0.0814904614036041,35.6987441828752,6.80758600877376e-09,"Rep","750",2018
2,0.00390186586227088,0.00195093293113544,0.854650402353358,0.426511725677193,"Rep:Block","750",2018
287,0.655142441510689,0.00228272627704073,NA,NA,"Residuals","750",2018
391,4.50610828386917,0.0115245736160337,3.00910722653879,8.24565264379216e-22,"taxa","800",2018
1,0.0992991577482435,0.0992991577482435,25.9273638335516,6.42803135251911e-07,"Rep","800",2018
2,0.00569982470842482,0.00284991235421241,0.744122268274787,0.476065617990918,"Rep:Block","800",2018
287,1.09918071334605,0.00382989795590959,NA,NA,"Residuals","800",2018
391,5.34871923552329,0.0136795888376555,2.50194973883672,5.51431784123654e-16,"taxa","850",2018
1,0.111071492352377,0.111071492352377,20.3145938508239,9.57751957906071e-06,"Rep","850",2018
2,0.00920985308558795,0.00460492654279397,0.842225223128875,0.431812733511402,"Rep:Block","850",2018
287,1.56919299195536,0.00546757140054133,NA,NA,"Residuals","850",2018
391,5.82995549551881,0.0149103721113013,2.31955143744805,7.69205864027099e-14,"taxa","900",2018
1,0.112759117571157,0.112759117571157,17.5415188363615,3.74419628457752e-05,"Rep","900",2018
2,0.0136550574246984,0.0068275287123492,1.06213338746549,0.347072384762536,"Rep:Block","900",2018
287,1.8448725589166,0.00642812738298468,NA,NA,"Residuals","900",2018
391,5.61659504496103,0.014364693209619,2.39623970466268,9.60841816610587e-15,"taxa","950",2018
1,0.101540823621068,0.101540823621068,16.9384858871905,5.05075305655098e-05,"Rep","950",2018
2,0.0173237523632593,0.00866187618162963,1.44492689961482,0.237473140547627,"Rep:Block","950",2018
287,1.72047351654287,0.00599468124230967,NA,NA,"Residuals","950",2018
