"Df","Sum Sq","Mean Sq","F value","Pr(>F)","factor","GDD","Year"
391,0.444462924152907,0.00113673382136293,3.14347967338461,2.63282196880048e-23,"taxa","4",2018
1,0.0236456288706556,0.0236456288706556,65.3887060650503,1.73945950693119e-14,"Rep","4",2018
2,0.0104023075868354,0.00520115379341768,14.383069211535,1.11453801762435e-06,"Rep:Block","4",2018
287,0.10378390847996,0.000361616405853518,NA,NA,"Residuals","4",2018
391,0.52679311539323,0.00134729697031517,3.11074191493858,6.06436848397698e-23,"taxa","5",2018
1,0.0275278832007719,0.0275278832007719,63.5584744780829,3.71362577453652e-14,"Rep","5",2018
2,0.0121625824376594,0.0060812912188297,14.040948586811,1.52155217972333e-06,"Rep:Block","5",2018
287,0.12430289656096,0.000433111137843065,NA,NA,"Residuals","5",2018
391,0.184953369243139,0.000473026519803425,3.17674295939642,1.13142830784275e-23,"taxa","6",2018
1,0.00994499564949663,0.00994499564949663,66.7884221880316,9.76675194159747e-15,"Rep","6",2018
2,0.00386895412230884,0.00193447706115442,12.9915261129333,3.97021747671565e-06,"Rep:Block","6",2018
287,0.0427351576500785,0.0001489029883278,NA,NA,"Residuals","6",2018
391,0.191320806699044,0.000489311526084512,1.69414321507128,1.31689734493128e-06,"taxa","7",2018
1,0.00618247765177254,0.00618247765177254,21.4055913415602,5.63244766692216e-06,"Rep","7",2018
2,0.000205621511840274,0.000102810755920137,0.355961663057915,0.700808298433187,"Rep:Block","7",2018
287,0.0828928786757539,0.000288825361239561,NA,NA,"Residuals","7",2018
391,0.418300088319191,0.00106982119774729,1.29202897513063,0.0105762419350235,"taxa","8",2018
1,0.00647427007830643,0.00647427007830643,7.81901176720659,0.00551902604277424,"Rep","8",2018
2,0.000532240591447129,0.000266120295723565,0.321394952417456,0.725397443059695,"Rep:Block","8",2018
287,0.237640710590435,0.000828016413207089,NA,NA,"Residuals","8",2018
391,0.581235100255523,0.00148653478326221,1.22218432605487,0.0353440266950776,"taxa","9",2018
1,0.00547918285260361,0.00547918285260361,4.50481985180668,0.0346556619446504,"Rep","9",2018
2,0.00198343825354392,0.000991719126771961,0.815361730002464,0.443501524571572,"Rep:Block","9",2018
287,0.349076218456675,0.00121629344409991,NA,NA,"Residuals","9",2018
391,0.567804639556728,0.00145218577891746,1.21678765126409,0.03855158496367,"taxa","10",2018
1,0.00351704669858339,0.00351704669858339,2.94693630380099,0.087119458208571,"Rep","10",2018
2,0.003191440419686,0.001595720209843,1.33705526827078,0.264248663042452,"Rep:Block","10",2018
287,0.34252263993338,0.00119345867572606,NA,NA,"Residuals","10",2018
391,0.380932746743626,0.000974252549216434,1.26184901932984,0.0181384135655309,"taxa","11",2018
1,0.00131859201625262,0.00131859201625262,1.70783647827529,0.192312470202792,"Rep","11",2018
2,0.00341223225439801,0.00170611612719901,2.20975656024753,0.111590962625865,"Rep:Block","11",2018
287,0.221587905796856,0.00077208329545943,NA,NA,"Residuals","11",2018
391,0.138788705809178,0.000354958326877693,1.49451445650311,0.000160154880659679,"taxa","12",2018
1,2.54488817046295e-05,2.54488817046295e-05,0.107149822188878,0.743651282507285,"Rep","12",2018
2,0.00252555816517423,0.00126277908258712,5.31679763902669,0.00540371318512365,"Rep:Block","12",2018
287,0.0681646399408287,0.000237507456239821,NA,NA,"Residuals","12",2018
391,0.0745299720840943,0.00019061373934551,1.2984217816476,0.00940298870957384,"taxa","13",2018
1,0.00117532889487212,0.00117532889487212,8.00609989049936,0.00499084650472833,"Rep","13",2018
2,0.00104060528353998,0.000520302641769991,3.54419511123692,0.0301631284071426,"Rep:Block","13",2018
287,0.0421327984214369,0.000146804175684449,NA,NA,"Residuals","13",2018
391,0.244966771606796,0.000626513482370323,1.15932065826376,0.0913347773750754,"taxa","14",2018
1,0.00179859671931488,0.00179859671931488,3.32818110266088,0.069141812196877,"Rep","14",2018
2,0.000524473502141996,0.000262236751070998,0.485251301731573,0.616046582250494,"Rep:Block","14",2018
287,0.155098909140092,0.000540414317561295,NA,NA,"Residuals","14",2018
391,0.384786563106503,0.000984108857049881,1.30875578919913,0.00775697843051776,"taxa","15",2018
1,0.000703533565551039,0.000703533565551039,0.935621725396336,0.334220758684145,"Rep","15",2018
2,0.00074549188676849,0.000372745943384245,0.49571082285249,0.60965833202316,"Rep:Block","15",2018
287,0.215807444218566,0.000751942314350404,NA,NA,"Residuals","15",2018
391,0.443456555222008,0.00113415998778007,1.42887961726049,0.000684237532546782,"taxa","16",2018
1,0.000210083721231863,0.000210083721231863,0.264675487074804,0.60732200869632,"Rep","16",2018
2,0.000864787327466316,0.000432393663733158,0.544754266944481,0.58058278447185,"Rep:Block","16",2018
287,0.227803597000671,0.000793740756099897,NA,NA,"Residuals","16",2018
