hapmap_taxa	field_taxa
1538	1538
2369	2369
29MIBZ2	29MIBZ2
2FACC	2FACC
2FADB	2FADB
2MA22	2MA22
2MCDB	2MCDB
33-16	33-16
3IJI1	3IJI1
4226	4226
4F-234-BX-4	4F-234 BX 4
4F-306-108	4F-306 108
4F-35-BK	4F-35-BK
6F629	6F629
6M502	6M502
6M502A	6M502A
764	764
78551S	78551S
790	790
792	792
793	793
87916W	87916W
911	911
912	912
91IFC2	91IFC2
A	A
A188	A188
A208	A208
A239	A239
A258	A258
A305	A305
A321	A321
A322	A322
A334	A334
A340	A340
A374	A374
A385	A385
A401	A401
A427	A427
A548	A548
A572	A572
A619	A619
A627	A627
A632	A632
A634	A634
A635	A635
A641	A641
A648	A648
A649	A649
A659	A659
A663	A663
A672	A672
A674	A674
A679	A679
A680	A680
A682	A682
A71	A71
A73	A73
A797NW	A797NW
AQA3	AQA3
AS5707	AS5707
AS6103	AS6103
AusTRCF-306238	AusTRCF 306238
B-18	B-18 INBR.FR.SUPERGOLD
B-28	B-28
B104	B104
B105	B105
B107	B107
B108	B108
B109	B109
B110	B110
B111	B111
B115	B115
B119	B119
B120	B120
B121	B121
B14	B14
B164	B164
B2	B2
B37	B37
B46	B46
B57	B57
B65	B65
B66	B66
B68	B68
B70	B70
B75	B75
B76	B76
B77	B77
B79	B79
B84	B84
B85	B85
B87	B87
B88	B88
B97	B97
B98	B98
BEI-10	BEI 10 = NORTH 10
C103	C103
C123	C123
CA-4	CA-4
CH157	CH157
CH701-30	CH701-30
CH711-10	CH711-10
CH753-4	CH753-4
CI-40H	CI 40H
CM105	CM105
CO257	CO257
CO258	CO258
CQ702RC	CQ702RC
CR-22	CR 22 INBRED
CR14	CR14
CS405	CS405
DE2	DE2
DE3	DE3
DE4	DE4
DE811	DE811
DJ7	DJ7
DK4676A	DK4676A
DK78002A	DK78002A
DK78010	DK78010
DK78371A	DK78371A
DKFBHJ	DKFBHJ
DKHBA1	DKHBA1
DKIB014	DKIB014
DKMBNA	DKMBNA
DKPB80	DKPB80
E8501	E8501
EAST-028	EAST 028
Eng-Li-Chih	Eng-Li Chih
F118	F118
F2834T	F2834T
FBLA	FBLA
FBLL	FBLL
FC46	FC46
FR19	FR19
H105W	H105W
H110	H110
H113	H113
H114	H114
H121	H121
H122w	H122w
H5	H5
H71	H71
H84	H84
H91	H91
H95	H95
H96	H96
H99	H99
HP301	HP301
HUANYAO	HUANYAO
HUOBAI	HUOBAI
Hy	Hy
I29	I29
IA2132	IA2132
IBB14	IBB14
IBB15	IBB15
IBC2	IBC2
ICI-193	ICI 193
ICI-441	ICI 441
ICI-740	ICI 740
ICI-893	ICI 893
ICI-986	ICI 986
ICI581	ICI581
IDS28	IDS28
IDS69	IDS69
IDS91	IDS91
INB-101LFY	INB 101LFY/LFY (A632 X M16 S5)
INBRED-109	INBRED-109
INBRED-141	INBRED 141
INBRED-305	INBRED 305
INBRED-309	INBRED 321
Ia-453	Ia 453
Il778d	Il778d
J47	J47
J8606	J8606
K150	K150
K41	K41
K47	K47
K55	K55
KUNG-70	KUNG-70
L-127	L 127
L-135	L 135
L-139	L 139
L-155	L 155
L-289	L 289
LH1	LH1
LH123Ht	LH123Ht
LH127	LH127
LH128	LH128
LH132	LH132
LH143	LH143 (Maintainer)
LH145	LH145
LH146Ht	LH146Ht
LH149	LH149
LH156	LH156
LH165	LH165
LH166	LH166
LH172	LH172
LH181	LH181
LH184	LH184
LH185	LH185
LH190	LH190
LH191	LH191
LH192	LH192
LH193	LH193
LH194	LH194
LH195	LH195
LH197	LH197
LH198	LH198
